Reactant,product,ee,nbo_charge,bond_energy,Vbur,L,B1,B5
CC/C(=C\c1ccccc1)C(C)=O,CC[C@@H](Cc1ccccc1)C(C)=O,1,1.72992,-0.53294,0.680989098,7.935113689,2.64919796,8.233112341
COC(=O)/C(=C/c1ccccc1OC)NC(C)=O,COC(=O)[C@H](Cc1ccccc1OC)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
[H]/C=C(\NC(C)=O)P(=O)(OC)OC,COP(=O)(OC)C(C)NC(C)=O,1,1.560625,-0.47559,0.6785547894,8.609057483,4.066448449,10.73151123
Cc1ccc(/C=C(\OCc2ccccc2)C(=O)O)cc1,Cc1ccc(C[C@H](OCc2ccccc2)C(=O)O)cc1,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
C=C(NC(C)=O)c1ccc2ccccc2c1,CC(=O)N[C@@H](C)c1ccc2ccccc2c1,1,1.772905,-0.49445,0.8738643776,8.022991494,3.938254681,9.276934917
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
[H]/C=C(\NC(=O)OCc1ccccc1)P(=O)(OC)OC,COP(=O)(OC)[C@H](C)NC(=O)OCc1ccccc1,1,1.560625,-0.47559,0.6785547894,8.609057483,4.066448449,10.73151123
COC(=O)/C(=C/c1ccc(F)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(F)cc1)NC(C)=O,1,1.852705,-0.515385,0.6795273481,7.612394894,2.698485779,10.79966821
[H]/C=C(\NC(C)=O)C1=CC=CCC=C1,CC(=O)N[C@H](C)C1=CC=CCC=C1,1,1.690555,-0.485035,0.6780539508,10.15305016,1.909089045,9.845223484
C=C(CCCC)c1c(C(=O)O)ccc(Cl)c1Cl,CCCCC(C)c1c(C(=O)O)ccc(Cl)c1Cl,1,1.53661,-0.45094,0.7488876724,10.08209287,2.647625967,11.46428731
C=C(C(=O)O)c1ccccc1Cl,C[C@H](C(=O)O)c1ccccc1Cl,1,1.620815,-0.535215,0.8663576221,13.666264,5.019695584,8.919674754
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,1,1.522825,-0.470795,0.6363562244,9.283497453,3.534725792,6.938908946
COC(=O)/C(=C/c1ccc(OC(C)=O)c(OC)c1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC(C)=O)c(OC)c1)NC(C)=O,1,1.532035,-0.4655,0.6448005963,8.337692894,3.489708362,6.976480209
COC(=O)/C=C(\C)NC(C)=O,COC(=O)C[C@H](C)NC(C)=O,1,1.777765,-0.50577,0.7899273202,11.64569407,4.188768222,8.699255529
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,1,1.52527,-0.468885,0.6591618524,7.26422468,3.417781681,6.960463413
