Reactant,product,er_nbo,er_bond,er_vbur,er_l,er_b1,er_b5,average_er,DFTScore
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,not found,not found,not found,not found,not found,not found,not found,not found
CC(C)=C(C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1,badfit,badfit,badfit,badfit,2.7542301533406737,1.9806535352069838,2.367441844273829,0.914310649850005
C/C(=C\C(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1,not found,not found,not found,not found,not found,not found,not found,not found
[H]/C=C(\NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O,badfit,4.699925221603316,badfit,4.763316326606654,badfit,badfit,4.731620774104985,0.9912647992236605
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOP(=O)(/C=C(\N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C\S(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(/C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(C)=O)C(=O)OC,COC(=O)[C@H](C)CC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CN1CCC=C1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(F)c1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)/C(C)=C/c1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1,badfit,3.6107105991071475,3.555937979415866,badfit,3.73943398988597,3.7471957936149813,3.663319590505991,0.9749940992157512
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C\c1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,not found,not found,not found,not found,not found,not found,not found,not found
O=C(O)/C(=C/c1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(\Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,not found,not found,not found,not found,not found,not found,not found,not found
COCC1=C(c2ccc(OC)cc2)CCCC1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,badfit,badfit,4.476969825134443,badfit,badfit,badfit,4.476969825134443,0.9887599670678283
C=C(CCCC)OC(=O)C(C)(C)C,CCCC[C@H](C)OC(=O)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(\Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(C#N)=C/c1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=C(c2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(\NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(CCCC)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C\c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C(O)/C(=C/c1ccccc1)CO,O=C(O)[C@H](CO)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCc1ccc2c(c1)C(=O)C(NC(C)=O)=C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O,not found,not found,not found,not found,not found,not found,not found,not found
CC(=O)NC1=C(C)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,0.8354756083413157,1.3705826756978148,badfit,0.8883642381209116,badfit,0.9076448232148575,1.000516836343725,0.7311601826869496
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(/B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C1OCCC/C1=C\c1ccccc1,O=C1OCCC[C@@H]1Cc1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,5.4063750971841245,5.027336271201278,4.81343479736006,4.81685132075541,badfit,badfit,5.0159993716252185,0.9934126786506774
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,1.7346010553881062,nofit,1.734601055391633,1.7346010553805256,1.7346010553584736,1.7346010553563969,1.7346010553750273,0.8499999999983324
C=C(c1ccc(C)cc1)c1ccccn1,Cc1ccc([C@H](C)c2ccccn2)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(\C#N)CC(C)C,COC(=O)C[C@@H](C#N)CC(C)C,not found,not found,not found,not found,not found,not found,not found,not found
O=S1(=O)CCCC=C(c2ccccc2)C1,O=S1(=O)CCCC[C@H](c2ccccc2)C1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
O=C(O)/C=C(/c1ccccc1)c1ccccc1Cl,O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl,not found,not found,not found,not found,not found,not found,not found,not found
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@H](Cc1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=S1(=O)C(c2ccccc2)=Cc2ccccc21,O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
COc1ccc(O/C(=C\c2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C1c2ccccc2CCN1C,C[C@@H]1c2ccccc2CCN1C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(C)/C=C1\CCCNC1=O,CC(C)C[C@@H]1CCCNC1=O,not found,not found,not found,not found,not found,not found,not found,not found
