Reactant,product,a_nbo,b_nbo,r2_nbo,a_bond,b_bond,r2_bond,a_vbur,b_vbur,r2_vbur,a_l,b_l,r2_l,a_b1,b_b1,r2_b1,a_b5,b_b5,r2_b5
Brc1ccc(C2=CCc3ccccc3O2)cc1,Brc1ccc([C@H]2CCc3ccccc3O2)cc1,4.453210834761409,-5.394092291313034,0.5600214155123066,-8.78961677984535,-2.6371450503299645,0.3008361482657341,4.247229458110153,-1.4835832173654862,0.06890064316884514,-0.00205554034680239,1.6570201160212445,5.719877621213065e-06,0.2637035754325921,0.6111858177139997,0.05523479743315085,0.7048759056430216,-4.212964076638034,0.4646975818166805
C(=C1\CCc2ccccc21)\c1ccccc1,c1ccc(C[C@@H]2CCc3ccccc32)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C(=C1\CCc2ccccc21)\c1ccccc1,c1ccc(C[C@H]2CCc3ccccc32)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C.COC(=O)/C(=C/CCC(C)(C)[N+](=O)[O-])NC(=O)OCc1ccccc1,C.COC(=O)[C@H](CCCC(C)(C)[N+](=O)[O-])NC(=O)OCc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C(/F)C(=O)OC(C)C)C(C)(C)C,CC(C)OC(=O)[C@@H](F)[C@H](C)C(C)(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C(/F)CO)C(C)(C)C,C[C@@H]([C@H](F)CO)C(C)(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C(\F)CO)c1ccc(C)cc1,CCOC(=O)[C@H](F)[C@H](C)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C(\F)CO)c1ccc(C)cc1,Cc1ccc([C+](C)[C+](F)CO)cc1,0.0,4.287223542586055,0.0,0.0,4.287223542586055,0.0,0.0,4.287223542586055,0.0,0.0,4.287223542586055,0.0,0.0,4.287223542586055,0.0,0.0,4.287223542586055,0.0
C/C(=C(\F)CO)c1ccc(C)cc1,Cc1ccc([C@@H](C)[C@@H](F)CO)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C(\F)CO)c1ccccc1,C[C@@H](c1ccccc1)[C@H](F)CO,-33.60703516173744,59.633458030688395,1.0,56.42254472145011,31.734042423286358,1.0,9.597432657387525,-3.889606914398812,1.0,8.402607668686416,-58.45196050405691,1.0,0.667874467025659,0.6673774519607687,1.0,0.28316518998448514,0.42946841448575146,1.0
C/C(=C(\F)CO)c1ccccc1,C[C@H](c1ccccc1)[C@@H](F)CO,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C/[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CO,CC[C@@H](C)C[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
