Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,nofit,0.1037622171,0,nofit,0.1037622171,0,0.5,0.1390862688,0,nofit,0.1037622171,0,nofit,0.5430965917,1,nofit,0.5965875224,1,nofit,0.6647255601,1,0.5,0.4904498707,0,0.5,0.5677881874,1,0.5,0.5888440947,1,0.5,0.6854244768,1,0.5,0.9737191419,1,0.5,0.578171488,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,nofit,0.05519187569,0,nofit,0.01704844501,0,nofit,0.02544402281,0,nofit,0.05519187569,0,nofit,0.9903885584,1,nofit,0.9656422625,1,nofit,0.9582974102,1,nofit,0.9582974102,1,nofit,0.9582974102,1,nofit,0.9656420395,1,nofit,0.9582974102,1,nofit,0.9582974102,1,nofit,0.9894652241,1
CCOC(=O)/C=C(\Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,not found,0.02209527971,0,not found,0.02209527971,0,not found,0.02155461449,0,not found,0.02480399275,0,not found,0.01632440283,0,not found,0.01632455072,0,not found,0.02480389813,0,not found,0.02772097851,0,not found,0.01632440283,0,not found,0.02772097851,0,not found,0.02772097851,0,not found,0.02772097851,0,not found,0.01632440283,0
CC(C)=C(C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1,0.8785869569,0.7095305757,1,0.9380566812,0.9236243961,1,0.9694575715,0.903281374,1,0.8785869569,0.7095305757,1,0.9143106498,0.9265901701,1,0.9650706519,0.9373554909,1,0.8772000034,0.9382343583,1,nofit,0.906778018,1,0.9616646382,0.9265901701,1,nofit,0.9382344702,1,nofit,0.906778018,1,nofit,0.8317098404,1,0.9616646382,0.9373552814,1
C/C(=C\C(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0,not found,0,0
[H]/C=C(\NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O,0.9892644576,0.6935901106,1,0.9892644576,0.6935901106,1,0.9980583697,0.6935901106,1,0.9915030637,0.8858606094,1,0.9912647992,0.9661899337,1,0.9912647992,0.9661899337,1,0.9912647992,0.9661899337,1,0.9889267085,0.07594550474,0,0.9907895143,0.07594550474,0,0.9930985269,0.07594550474,0,0.9932355837,0.07594550474,0,0.9907895143,0.07594550474,0,0.9938576295,0.8515863701,1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,nofit,0.8377905823,1,nofit,0.02497875312,0,nofit,0.8377905823,1,nofit,0.8377905823,1,nofit,0.8377905823,1,nofit,0.8963173052,1,nofit,0.8377898332,1,nofit,0.8978514373,1,nofit,0.8377905823,1,nofit,0.8377905823,1,nofit,0.8377905823,1,nofit,0.8978514373,1,nofit,0.8377905823,1
CCOP(=O)(/C=C(\N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC,nofit,0.6870707414,1,nofit,0.5931490623,1,nofit,0.7058436521,1,nofit,0.5614494737,1,nofit,0.6827167543,1,nofit,0.7203103529,1,nofit,0.5614480347,1,nofit,0.5614494737,1,nofit,0.7228180084,1,nofit,0.601933291,1,nofit,0.667138493,1,nofit,0.667138493,1,nofit,0.7058436521,1
CC(=O)N/C(=C\S(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,nofit,0.8854540923,1,nofit,0.9739307775,1,nofit,0.9031433326,1,nofit,0.8854540923,1,nofit,0.9739307775,1,nofit,0.9390060791,1,nofit,0.9739306632,1,nofit,0.9739307775,1,nofit,0.9739307775,1,nofit,0.9739307775,1,nofit,0.9739307775,1,nofit,0.9739307775,1,nofit,0.9739307775,1
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,nofit,0.9253631786,1,nofit,0.9253631786,1,nofit,0.3542422335,0,nofit,0.3449584126,0,nofit,0.7338898305,1,nofit,0.733890596,1,nofit,0.7338891306,1,nofit,0.3449584126,0,nofit,0.29712126,0,nofit,0.7338898305,1,nofit,0.7338898305,1,nofit,0.8037694317,1,nofit,0.8037694317,1
