Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy,target dft,f_theta,accuracy
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,0.9483607171,0.1037622171,0,0.9214344392,0.1037622171,0,0.9214344392,0.1390862688,0,0.878849505,0.1037622171,0,0.8822004973,0.5430965917,1,0.8766554737,0.6647255601,1,0.942001652,0.4904498707,0,0.9686298726,0.5677881874,1,0.942001652,0.5888440947,1,0.942001652,0.6854244768,1,0.9198779728,0.9737191419,1,0.9619868515,0.578171488,1,0.9426335671,0.5965875224,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,0.9304307959,0.05519187569,0,0.9820369612,0.01704844501,0,0.9763824266,0.02544402281,0,0.842129955,0.05519187569,0,0.9954076629,0.9903885584,1,0.917814119,0.9582974102,1,0.9176389388,0.9582974102,1,0.917814119,0.9582974102,1,0.917814119,0.9656420395,1,0.9502062807,0.9582974102,1,0.917814119,0.9582974102,1,0.9806494485,0.9894652241,1,0.9502062807,0.9656422625,1
CCOC(=O)/C=C(\Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,not_found,0.02209527971,0,not_found,0.02209527971,0,not_found,0.02155461449,0,not_found,0.02480399275,0,not_found,0.01632440283,0,not_found,0.02480389813,0,not_found,0.02772097851,0,not_found,0.01632440283,0,not_found,0.02772097851,0,not_found,0.02772097851,0,not_found,0.02772097851,0,not_found,0.01632440283,0,not_found,0.01632455072,0
CC(C)=C(C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1,0.8504782921,0.7095305757,1,0.7901856854,0.9236243961,1,0.9870629855,0.903281374,1,0.8563296933,0.7095305757,1,0.9485391029,0.9265901701,1,0.9485391029,0.9382343583,1,0.9485391029,0.906778018,1,0.9485391029,0.9265901701,1,0.8841798923,0.9382344702,1,0.9485391029,0.906778018,1,0.8222299132,0.8317098404,1,0.9709951793,0.9373552814,1,0.9709951793,0.9373554909,1
C/C(=C\C(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1,not_found,2.41E-15,0.00E+00,not_found,1.47E-12,0.00E+00,not_found,1.27E-12,0.00E+00,not_found,1.18E-12,0.00E+00,not_found,1.70E-12,0.00E+00,not_found,1.70E-12,0.00E+00,not_found,1.70E-12,0.00E+00,not_found,1.45E-13,0.00E+00,not_found,1.34E-12,0.00E+00,not_found,2.40E-11,0.00E+00,not_found,1.45E-13,0.00E+00,not_found,9.82E-14,0.00E+00,not_found,0,0
[H]/C=C(\NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O,0.98251031,0.6935901106,1,0.7037543086,0.6935901106,1,0.7037543086,0.6935901106,1,0.9716323146,0.8858606094,1,0.9853039136,0.9661899337,1,0.9606291837,0.9661899337,1,0.9853039136,0.07594550474,0,0.9853039136,0.07594550474,0,0.9853039136,0.07594550474,0,0.9853039136,0.07594550474,0,0.9790762176,0.07594550474,0,0.9995613119,0.8515863701,1,0.9853039136,0.9661899337,1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,0.9791355977,0.8377905823,1,0.711125003,0.02497875312,0,0.9871196405,0.8377905823,1,0.9871196405,0.8377905823,1,0.9871196405,0.8377905823,1,0.9871196405,0.8377898332,1,0.9871196405,0.8978514373,1,0.9871196405,0.8377905823,1,0.9871196405,0.8377905823,1,0.9871196405,0.8377905823,1,0.8915464529,0.8978514373,1,0.9871196405,0.8377905823,1,0.9653269829,0.8963173052,1
CCOP(=O)(/C=C(\N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC,0.7529989171,0.6870707414,1,0.9246440296,0.5931490623,1,0.9249968463,0.7058436521,1,0.6839279416,0.5614494737,1,0.6543380415,0.6827167543,1,0.6839279416,0.5614480347,1,0.6543380415,0.5614494737,1,0.6543380415,0.7228180084,1,0.6342497078,0.601933291,1,0.6543380415,0.667138493,1,0.6839279416,0.667138493,1,0.8342330458,0.7058436521,1,0.6518716511,0.7203103529,1
CC(=O)N/C(=C\S(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,not_found,0.8854540923,1,not_found,0.9739307775,1,not_found,0.9031433326,1,not_found,0.8854540923,1,not_found,0.9739307775,1,not_found,0.9739306632,1,not_found,0.9739307775,1,not_found,0.9739307775,1,not_found,0.9739307775,1,not_found,0.9739307775,1,not_found,0.9739307775,1,not_found,0.9739307775,1,not_found,0.9390060791,1
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,not_found,0.9253631786,1,not_found,0.9253631786,1,not_found,0.3542422335,0,not_found,0.3449584126,0,not_found,0.7338898305,1,not_found,0.7338891306,1,not_found,0.3449584126,0,not_found,0.29712126,0,not_found,0.7338898305,1,not_found,0.7338898305,1,not_found,0.8037694317,1,not_found,0.8037694317,1,not_found,0.733890596,1
