Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
[H]/C=C(\NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O,0.9892644576,0.6935901106,1,0.9892644576,0.6935901106,1,0.9980583697,0.6935901106,1,0.9915030637,0.8858606094,1,0.9912647992,0.9661899337,1,0.9912647992,0.9661899337,1,0.9912647992,0.9661899337,1,0.9889267085,0.07594550474,0,0.9907895143,0.07594550474,0,0.9930985269,0.07594550474,0,0.9932355837,0.07594550474,0,0.9907895143,0.07594550474,0,0.9938576295,0.8515863701,1
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1,0.9914426134,0.3610317369,0,0.8171285823,0.3541893668,0,0.6045353029,0.2840364887,0,0.5225506393,0.6945076854,1,0.9749940992,0.9798511905,1,0.7635820948,0.6206639499,1,0.9749940992,0.9798511905,1,0.9591944293,0.9784747621,1,0.9591944293,0.9798511905,1,0.9869679908,0.9798511905,1,0.9864237946,0.6206644308,1,0.9869679908,0.9798511905,1,0.9869679908,0.9798511905,1
COCC1=C(c2ccc(OC)cc2)CCCC1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,0.9802374201,0.8293880155,1,0.9267908314,0.7839035899,1,0.9988817353,0.6791061563,1,0.9977501689,0.4945206877,0,0.9887599671,0.9185799336,1,0.9624322309,0.8693391532,1,0.8378923983,0.8729244399,1,0.9965371087,0.8890583441,1,0.981800451,0.8478136495,1,0.981800451,0.872924622,1,0.9965371087,0.9185799336,1,0.981800451,0.9196690891,1,0.9965371087,0.8798425443,1
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,0.9441555734,0.9324242613,1,0.9327768797,0.3834635772,0,0.9370343952,0.1773089025,0,0.9744255375,0.7026293633,1,0.7311601826,0.8641611046,1,0.9403582835,0.944635938,1,0.9455094769,0.9407207247,1,0.9144337176,0.4404406096,0,0.8268295906,0.4404406096,0,0.8527249229,0.8641611046,1,0.9184073459,0.8641611046,1,0.9184073459,0.2175271188,0,0.8372097136,0.9790096539,1
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,0.9998916869,0.7817570065,1,0.9999995182,0.9760512182,1,0.9999807175,0.4064312958,0,0.9934126787,0.9731071874,1,0.9934126787,0.9731071874,1,0.9925274634,0.8836806114,1,0.9934126787,0.9731071874,1,0.9999999978,0.9731071874,1,0.9999999978,0.9731071874,1,0.9999966701,0.9717183244,1,0.9999999978,0.9712251722,1,0.9999999978,0.9731071874,1,0.9999999356,0.9731071874,1
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,0.85,0.875869802,1,0.8364915381,0.008637033416,0,0.8343857753,0.875869802,1,0.85,0.875869802,1,0.85,0.875869802,1,0.85,0.8758696193,1,0.85,0.8758694366,1,0.8304318567,0.9583975021,1,0.8304318567,0.875869802,1,0.8342833633,0.875869802,1,0.8395685378,0.875869802,1,0.8304318567,0.9134938084,1,0.8304318567,0.9583975021,1
C=C(CCCC)c1ccccc1,CCCC[C@H](C)c1ccccc1,0.977510934,0.8947002984,1,0.9629930196,0.9458775961,1,0.9948505878,0.8980640753,1,0.9828244304,0.09866097624,0,0.9857622207,0.9552417682,1,0.9750201303,0.895364929,1,0.9828244304,0.09866097624,0,0.9957026795,0.9552417682,1,0.9966465075,0.9552417682,1,0.9808255005,0.09866097624,0,0.9858434905,0.9830856477,1,0.9860331748,0.9830856477,1,0.9860331748,0.9552417682,1
COCCCOc1cc(/C=C(/C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC,0.9942700045,0.8718965876,1,0.09036836659,0.9819525748,1,0.782050922,0.973834886,1,0.8663651637,0.9535007014,1,0.9334748443,0.9217951977,1,0.9999402315,0.9824579119,1,0.9334748443,0.9217951977,1,0.9255757232,0.9217951977,1,0.9255757232,0.9606687993,1,0.8328391772,0.9730689505,1,0.9987054534,0.9847442093,1,0.9987054534,0.9500572061,1,0.9255757232,0.966903467,1
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1,0.9160042898,0.8872101975,1,0.8048795121,0.03447607836,0,0.9862715769,0.8872101975,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872103826,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872101975,1,0.9160042898,0.8872101975,1,0.8048795121,0.8872101975,1
CC(C)=CCC/C(C)=C/CO,CC(C)=CCC[C@@H](C)CCO,0.98,0.4087482072,0,0.98,0.9686153597,1,0.98,0.3367831313,0,0.98,0.9868092233,1,0.98,0.9774961499,1,0.98,0.96276486,1,0.98,0.9627647488,1,0.98,0.9627647488,1,0.98,0.9774961499,1,0.98,0.9774961499,1,0.98,0.9627647488,1,0.98,0.9627647488,1,0.98,0.9774961499,1
O=C1C=C(c2ccccc2)CN1,O=C1C[C@H](c2ccccc2)CN1,0.9201849963,0.4656303641,0,0.260011055,0.3852272747,0,0.8219273401,0.4248234513,0,0.659193461,0.4604103921,0,0.6663408067,0.4886571617,0,0.8752184732,0.7709550869,1,0.6663408067,0.4886581229,0,0.9201849963,0.4886571617,0,0.9451278123,0.4886571617,0,0.9451278123,0.4886571617,0,0.9201849963,0.4886571617,0,0.9201849963,0.6473678366,1,0.9451278123,0.7709550869,1
Fc1ccc(-c2cc3ccccc3o2)cc1,Fc1ccc([C@@H]2Cc3ccccc3O2)cc1,0.99,0.9897359385,1,0.99,0.9774667037,1,0.99,0.9805486709,1,0.99,0.9806748021,1,0.99,0.9630232897,1,0.99,0.9630232897,1,0.99,0.9630234009,1,0.99,0.9630232897,1,0.99,0.9630232897,1,0.99,0.9630232897,1,0.99,0.9630232897,1,0.99,0.961864168,1,0.99,0.9630232897,1
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,0.8741735502,0.6997462049,1,0.1291206968,0.436251235,0,0.7599631275,0.9382940721,1,0.8741735502,0.6997462049,1,0.8828727653,0.8710896994,1,0.4018059638,0.9152784511,1,0.8828727653,0.8710898811,1,0.2832572597,0.8710896994,1,0.2832572597,0.8710896994,1,0.2832572597,0.8710896994,1,0.2832572597,0.8710896994,1,0.5,0.8710896994,1,0.2832572597,0.8710896994,1
