Reactant,product
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
CCOC(=O)/C=C(\Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1
CC(C)=C(C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1
C/C(=C\C(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1
[H]/C=C(\NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1
CCOP(=O)(/C=C(\N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC
CC(=O)N/C(=C\S(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1
C/C=C(/C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
C=C(CC(C)=O)C(=O)OC,COC(=O)[C@H](C)CC(C)=O
CN1CCC=C1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(F)c1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC
CC(=O)/C(C)=C/c1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1
CC(=O)N/C(=C\c1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F
O=C(O)/C(=C/c1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1
CCOC(=O)/C=C(\C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1
C/C=C(\Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O
COCC1=C(c2ccc(OC)cc2)CCCC1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1
C=C(CCCC)OC(=O)C(C)(C)C,CCCC[C@H](C)OC(=O)c1ccccc1
C/C=C(\Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1
CC(=O)N/C(C#N)=C/c1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
CC(=O)NC1=C(c2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
COC(=O)/C=C(\NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1
C=C(CCCC)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1
COC(=O)/C(=C\c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
O=C(O)/C(=C/c1ccccc1)CO,O=C(O)[C@H](CO)Cc1ccccc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C
CCc1ccc2c(c1)C(=O)C(NC(C)=O)=C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@H](C)Cc1ccccc1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC
C=C(c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O
CC(=O)NC1=C(C)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1C
C/C(=C\C(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC
C=C(CC(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O
CCOC(=O)/C=C(/B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC
O=C1OCCC/C1=C\c1ccccc1,O=C1OCCC[C@@H]1Cc1ccccc1
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12
C=C(c1ccc(C)cc1)c1ccccn1,Cc1ccc([C@H](C)c2ccccn2)cc1
COC(=O)/C=C(\C#N)CC(C)C,COC(=O)C[C@@H](C#N)CC(C)C
O=S1(=O)CCCC=C(c2ccccc2)C1,O=S1(=O)CCCC[C@H](c2ccccc2)C1
O=C(O)/C=C(/c1ccccc1)c1ccccc1Cl,O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@H](Cc1ccccc1)C(=O)O
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1
O=S1(=O)C(c2ccccc2)=Cc2ccccc21,O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1
COc1ccc(O/C(=C\c2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O
C=C(CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O
C=C1c2ccccc2CCN1C,C[C@@H]1c2ccccc2CCN1C
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
CC(C)/C=C1\CCCNC1=O,CC(C)C[C@@H]1CCCNC1=O
CC1=C(c2ccccc2)c2ccccc2CC1,C[C@H]1CCc2ccccc2[C@H]1c1ccccc1
CC(=O)NC1=CCCc2ccccc21,CC(=O)N[C@@H]1CCCc2ccccc21
C=C(CCCC)c1ccccc1,CCCC[C@H](C)c1ccccc1
COCCCOc1cc(/C=C(/C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1
CCOC(=O)/C=C(\NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](NC(C)=O)c1ccc(Cl)cc1
CC(=O)NC1=C(Cc2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1Cc1ccccc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1
CC(C)=CCC/C(C)=C/CO,CC(C)=CCC[C@@H](C)CCO
O=C1C=C(c2ccccc2)CN1,O=C1C[C@H](c2ccccc2)CN1
Fc1ccc(-c2cc3ccccc3o2)cc1,Fc1ccc([C@@H]2Cc3ccccc3O2)cc1
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC
COC(=O)/C(=C\CCCC1OCCO1)NC=O,COC(=O)[C@@H](CCCCC1OCCO1)NC=O
C=C(C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@H]1CCc2ccccc2C1
OCC1=COc2ccccc2O1,OC[C@H]1COc2ccccc2O1
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1
O=C1C/C(=C/c2ccc(F)cc2)CCN1,O=C1C[C@H](Cc2ccc(F)cc2)CCN1
CCC/C(=C/[N+](=O)[O-])NC(C)=O,CCC[C@@H](C[N+](=O)[O-])NC(C)=O
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
C/C(=C\c1ccccc1)CO,C[C@@H](CO)Cc1ccccc1
CCC/C=C(\OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C@@H](OC(=O)c1ccccc1)P(=O)(OC)OC
COC(=O)/C(=C/c1ccc(Br)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Br)cc1)NC(C)=O
C/C=C(\NC(C)=O)C(=O)OC,CC[C@@H](NC(C)=O)C(=O)OC
[H]/C=C(\NC(C)=O)C1=CC=CCC=C1,CC(=O)N[C@@H](C)C1=CC=CCC=C1
Brc1ccc2c(c1)CCC=C2c1ccccc1,Brc1ccc2c(c1)CCC[C@H]2c1ccccc1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
CCOC(=O)/C=C(\Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[C@@H](Sc1ccccc1)c1ccccc1OC
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O
O=c1[nH]c(-c2ccccc2)co1,O=C1N[C@H](c2ccccc2)CO1
CC(=O)N/C(=C\[N+](=O)[O-])c1ccccc1,CC(=O)N[C@@H](C[N+](=O)[O-])c1ccccc1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
COC(=O)/C(=C/CCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CCCN1C(=O)c2ccccc2C1=O)NC(C)=O
CC/C(=C\C(=O)OC)NC(C)=O,CC[C@@H](CC(=O)OC)NC(C)=O
O=C(NC1=Cc2ccccc2CC1)c1ccccc1,O=C(N[C@H]1CCc2ccccc2C1)c1ccccc1
CC(=O)NC1=CCCC(c2ccccc2)=C1,CC(=O)N[C@H]1C=C(c2ccccc2)CCC1
CC(=O)N/C(=C\[N+](=O)[O-])c1ccccc1,CC(=O)N[C@H](C[N+](=O)[O-])c1ccccc1
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@H]1CCc2ccccc2C1
COC(=O)/C(=C/c1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O
C/C(=C\c1ccccc1)CO,C[C@H](CO)Cc1ccccc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
C=C(CCCC)c1ccccc1,CCCC[C@@H](C)c1ccccc1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1
CCOC(=O)c1c(C)ncc2ccccc12,CCOC(=O)[C@@H]1c2ccccc2CN[C@@H]1C
CC/C=C(/NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1
C/C(=N\c1ccccc1)c1ccccc1,C[C@@H](Nc1ccccc1)c1ccccc1
C=C(C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1
