target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.6104688048362732,-0.03052343986928463,20
COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@H](Cc1ccccc1)NC(C)=O,COC(=O)[C[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[COBC@H](Cc1ccccc1)NC(C)=O,1,-0.00965804886072874,-0.00037146342219784856,26
CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@H](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@](Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@H](B1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@H](SC1ccccc1)c1cccc(F)c1,2,-4.115088939666748,-0.13274480402469635,31
CC(C)[C@@H](C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1,CC(C)[C@H](C(=O)O)c1ccccc1,CC(C)[CC@@H](C(=O)O)c1ccccc1,CC(C)[C]@@H](C(=O)O)c1ccccc1,CC(C)[CH](C(=O)O)c1ccccc1,1,-0.07624512910842896,-0.003315005684271455,23
Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@@H](C)CC(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)C2ccc(C)cc2)cc1,Cc1ccc([C@@H](C)CC(=O)c2ccc(C)cc2)cc1,Cc1ccc(S(=O)(=O)[C@H](C)CC(=O)c2ccccc2C)cc1,0,-27.098377227783203,-0.6609360575675964,41
CC(=O)N[C@H](C)C(=O)O,CC(=O)N[C@H](C)C(=O)O,CC(=O)N[C@@H](C)C(=O)O,CC[C@@H](NC(C)=O)C(=O)O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,1,-0.03439577296376228,-0.0016378939617425203,21
CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C[C@@H](C)c1ccccc1,CC(=O)N[CC@@H](C)c1ccccc1,CC[C@@H](NC(C)=O)c1ccccc1,1,-0.1769879013299942,-0.008427995257079601,21
CCOP(=O)(C[C@H](N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC,CCOP(=O)(C[C@@H](N)c1ccccc1)OCC,CCOP(=O)(C[C[C@H](N)c1ccccc1)OCC,CCOP(=O)(C[C[C@@H](N)c1ccccc1)OCC,CCOP(=O)(C[CC@H](N)c1ccccc1)OCC,1,-0.3816763460636139,-0.015267053619027138,25
CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[CC@H](CS(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS2C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C]@H](CS(C)(=O)=O)c1ccc(C)cc1,1,-0.026414932683110237,-0.0008254666463471949,32
CCOC(=O)[C@@H](F)Cc1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,CCOC(=O)[C@H](F)Cc1ccccc1,CCOC(=O)[C=O)[C@@H](F)Cc1ccccc1,CCOC(=O)[CC@@H](F)Cc1ccccc1,CCOC(=O)[C[C@@H](F)Cc1ccccc1,1,-0.309392511844635,-0.014063295908272266,22
CC[C@@H](C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,CC[CO)c1ccc([C@H](C)C(C)C)cc1,CC[C[C@@H](C)c1ccc(OC)cc1,CC[C]@@H](C)c1ccc(OC)cc1,1,-0.15377068519592285,-0.008093194104731083,19
COC(=O)[C@H](C)CC(C)=O,COC(=O)[C@H](C)CC(C)=O,COC(=O)[C@@H](C)CC(C)=O,COC(=O)[CC@H](C)CC(C)=O,COC(=O)[CO[C@H](C)CC(C)=O,CC(C)=O)C[C@@H](C)C(=O)OC,1,-0.01435900665819645,-0.0007179503445513546,20
CN1CCC[C@H]1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(F)c1,CN1CCC[C@@H]1c1cccc(F)c1,CN1CCC=C1c1cccc(F)c1,CN1CCC[CH]1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(Cl)c1,1,-0.05069628730416298,-0.0024141089525073767,21
COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,CC[C@@H](CC(=O)OC)C(=O)OC,CC[C@H](CC(=O)OC)C(=O)OC,CC[C@@H](C)C(=O)OC,1,-0.16494180262088776,-0.007497354876250029,22
CC(=O)[C@@H](C)Cc1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1,CC(=O)[C@H](C)Cc1ccccc1,CC(=O)[CC@@H](C)Cc1ccccc1,CC(=O)[CH](C)Cc1ccccc1,CC(=O)[CCC@@H](C)Cc1ccccc1,1,-0.04011526331305504,-0.002005763119086623,20
C[C@@H]1Cc2ccccc2N1,C[C@@H]1Cc2ccccc2N1,C[C@H]1Cc2ccccc2N1,C[C@@]1Cc2ccccc2N1,C[CH]1Cc2ccccc2N1,C[C=C1Cc2ccccc2N1,1,-0.02035444974899292,-0.0011308027897030115,18
CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[CO[C@H](C)c1ccccc1,CC[C@@H](NC(C)=O)c1ccccc1,COc1ccccc1[C@H](C)NC(C)=O,1,-0.09230982512235641,-0.004395706113427877,21
O=C(O)[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[C@@H](Cc1ccccc1)c1ccccc1,O=C(O)[CH](Cc1ccccc1)c1ccccc1,O=C(O)[Cc1ccccc1)c1ccccc1,O=C(O)[C/c1ccccc1)c1ccccc1,1,-0.05463029444217682,-0.0021011652424931526,26
